8.9598 	EXP 	Sound beep started
8.9784 	EXP 	Sound beep stopped
9.0796 	EXP 	Sound beep reached end of file
9.0847 	EXP 	Sound beep started
9.1085 	EXP 	Sound beep stopped
9.2099 	EXP 	Sound beep reached end of file
9.2266 	EXP 	Sound beep started
9.2384 	EXP 	Sound beep stopped
9.3393 	EXP 	Sound beep reached end of file
9.3503 	EXP 	Sound beep started
9.3684 	EXP 	Sound beep stopped
10.1698 	EXP 	New trial (rep=0, index=2): {'condition': '4_con_duration', 'single_duration': 0.08, 'numerosity': 4}
10.1711 	EXP 	Sound beep reached end of file
10.1729 	EXP 	Sound beep started
10.2685 	EXP 	Sound beep stopped
10.3698 	EXP 	Sound beep reached end of file
10.3767 	EXP 	Sound beep started
10.4585 	EXP 	Sound beep stopped
10.5606 	EXP 	Sound beep reached end of file
10.5769 	EXP 	Sound beep started
10.6485 	EXP 	Sound beep stopped
10.7497 	EXP 	Sound beep reached end of file
10.7601 	EXP 	Sound beep started
10.8384 	EXP 	Sound beep stopped
11.6404 	EXP 	New trial (rep=0, index=3): {'condition': '3_con_duration', 'single_duration': 0.14, 'numerosity': 3}
11.6415 	EXP 	Sound beep reached end of file
11.6564 	EXP 	Sound beep started
11.8183 	EXP 	Sound beep stopped
11.9201 	EXP 	Sound beep reached end of file
11.9329 	EXP 	Sound beep started
12.0785 	EXP 	Sound beep stopped
12.1795 	EXP 	Sound beep reached end of file
12.1932 	EXP 	Sound beep started
12.3484 	EXP 	Sound beep stopped
13.1515 	EXP 	New trial (rep=0, index=4): {'condition': '2_con_duration', 'single_duration': 0.26, 'numerosity': 2}
13.1527 	EXP 	Sound beep reached end of file
13.1628 	EXP 	Sound beep started
13.4284 	EXP 	Sound beep stopped
13.5301 	EXP 	Sound beep reached end of file
13.5434 	EXP 	Sound beep started
13.8083 	EXP 	Sound beep stopped
14.6103 	EXP 	New trial (rep=0, index=5): {'condition': '5_con_rate', 'single_duration': 0.02, 'numerosity': 5}
14.6116 	EXP 	Sound beep reached end of file
14.6229 	EXP 	Sound beep started
14.6585 	EXP 	Sound beep stopped
14.7600 	EXP 	Sound beep reached end of file
14.7765 	EXP 	Sound beep started
14.8085 	EXP 	Sound beep stopped
14.9101 	EXP 	Sound beep reached end of file
14.9265 	EXP 	Sound beep started
14.9585 	EXP 	Sound beep stopped
15.0594 	EXP 	Sound beep reached end of file
15.0597 	EXP 	Sound beep started
15.0887 	EXP 	Sound beep stopped
15.1901 	EXP 	Sound beep reached end of file
15.1979 	EXP 	Sound beep started
15.2284 	EXP 	Sound beep stopped
16.0295 	EXP 	New trial (rep=0, index=6): {'condition': '1_con_rate', 'single_duration': 0.02, 'numerosity': 1}
16.0308 	EXP 	Sound beep reached end of file
16.0397 	EXP 	Sound beep started
16.0785 	EXP 	Sound beep stopped
16.8796 	EXP 	New trial (rep=0, index=7): {'condition': '2_con_rate', 'single_duration': 0.02, 'numerosity': 2}
16.8801 	EXP 	Sound beep reached end of file
16.8960 	EXP 	Sound beep started
16.9385 	EXP 	Sound beep stopped
17.0398 	EXP 	Sound beep reached end of file
17.0501 	EXP 	Sound beep started
17.0784 	EXP 	Sound beep stopped
17.8806 	EXP 	New trial (rep=0, index=8): {'condition': '3_con_rate', 'single_duration': 0.02, 'numerosity': 3}
17.8819 	EXP 	Sound beep reached end of file
17.8966 	EXP 	Sound beep started
17.9286 	EXP 	Sound beep stopped
18.0296 	EXP 	Sound beep reached end of file
18.0359 	EXP 	Sound beep started
18.0684 	EXP 	Sound beep stopped
18.1696 	EXP 	Sound beep reached end of file
18.1841 	EXP 	Sound beep started
18.2083 	EXP 	Sound beep stopped
19.0101 	EXP 	New trial (rep=0, index=9): {'condition': '6_con_duration', 'single_duration': 0.02, 'numerosity': 6}
19.0113 	EXP 	Sound beep reached end of file
19.0233 	EXP 	Sound beep started
19.0683 	EXP 	Sound beep stopped
19.1697 	EXP 	Sound beep reached end of file
19.1834 	EXP 	Sound beep started
19.2185 	EXP 	Sound beep stopped
19.3198 	EXP 	Sound beep reached end of file
19.3334 	EXP 	Sound beep started
19.3686 	EXP 	Sound beep stopped
19.4702 	EXP 	Sound beep reached end of file
19.4840 	EXP 	Sound beep started
19.5185 	EXP 	Sound beep stopped
19.6196 	EXP 	Sound beep reached end of file
19.6339 	EXP 	Sound beep started
19.6685 	EXP 	Sound beep stopped
19.7696 	EXP 	Sound beep reached end of file
19.7837 	EXP 	Sound beep started
19.8185 	EXP 	Sound beep stopped
20.6197 	EXP 	New trial (rep=0, index=10): {'condition': '5_con_duration', 'single_duration': 0.044, 'numerosity': 5}
20.6208 	EXP 	Sound beep reached end of file
20.6297 	EXP 	Sound beep started
20.6885 	EXP 	Sound beep stopped
20.7901 	EXP 	Sound beep reached end of file
20.8001 	EXP 	Sound beep started
20.8583 	EXP 	Sound beep stopped
20.9600 	EXP 	Sound beep reached end of file
20.9669 	EXP 	Sound beep started
21.0186 	EXP 	Sound beep stopped
21.1196 	EXP 	Sound beep reached end of file
21.1334 	EXP 	Sound beep started
21.1884 	EXP 	Sound beep stopped
21.2894 	EXP 	Sound beep reached end of file
21.3000 	EXP 	Sound beep started
21.3486 	EXP 	Sound beep stopped
22.1496 	EXP 	New trial (rep=0, index=11): {'condition': '4_con_rate', 'single_duration': 0.02, 'numerosity': 4}
22.1506 	EXP 	Sound beep reached end of file
22.1635 	EXP 	Sound beep started
22.1887 	EXP 	Sound beep stopped
22.2910 	EXP 	Sound beep reached end of file
22.3051 	EXP 	Sound beep started
22.3284 	EXP 	Sound beep stopped
22.4297 	EXP 	Sound beep reached end of file
22.4335 	EXP 	Sound beep started
22.4685 	EXP 	Sound beep stopped
22.5696 	EXP 	Sound beep reached end of file
22.5833 	EXP 	Sound beep started
22.6185 	EXP 	Sound beep stopped
23.7360 	EXP 	Sound audio started
24.4384 	EXP 	Sound audio stopped
25.2628 	EXP 	New trial (rep=1, index=0): {'condition': '2_con_rate', 'single_duration': 0.02, 'numerosity': 2}
25.2639 	EXP 	Sound beep reached end of file
25.2761 	EXP 	Sound beep started
25.3083 	EXP 	Sound beep stopped
25.4101 	EXP 	Sound beep reached end of file
25.4125 	EXP 	Sound beep started
25.4484 	EXP 	Sound beep stopped
26.2499 	EXP 	New trial (rep=1, index=1): {'condition': '4_con_rate', 'single_duration': 0.02, 'numerosity': 4}
26.2511 	EXP 	Sound beep reached end of file
26.2561 	EXP 	Sound beep started
26.2885 	EXP 	Sound beep stopped
26.3899 	EXP 	Sound beep reached end of file
26.4039 	EXP 	Sound beep started
26.4284 	EXP 	Sound beep stopped
26.5296 	EXP 	Sound beep reached end of file
26.5434 	EXP 	Sound beep started
26.5885 	EXP 	Sound beep stopped
26.6899 	EXP 	Sound beep reached end of file
26.6995 	EXP 	Sound beep started
26.7283 	EXP 	Sound beep stopped
27.5301 	EXP 	New trial (rep=1, index=2): {'condition': '2_con_duration', 'single_duration': 0.26, 'numerosity': 2}
27.5312 	EXP 	Sound beep reached end of file
27.5396 	EXP 	Sound beep started
27.8185 	EXP 	Sound beep stopped
27.9200 	EXP 	Sound beep reached end of file
27.9330 	EXP 	Sound beep started
28.2185 	EXP 	Sound beep stopped
29.0202 	EXP 	New trial (rep=1, index=3): {'condition': '6_con_rate', 'single_duration': 0.02, 'numerosity': 6}
29.0213 	EXP 	Sound beep reached end of file
29.0291 	EXP 	Sound beep started
29.0484 	EXP 	Sound beep stopped
29.1494 	EXP 	Sound beep reached end of file
29.1514 	EXP 	Sound beep started
29.1557 	EXP 	Sound beep stopped
29.2574 	EXP 	Sound beep reached end of file
29.2727 	EXP 	Sound beep started
29.3085 	EXP 	Sound beep stopped
29.4104 	EXP 	Sound beep reached end of file
29.4267 	EXP 	Sound beep started
29.4386 	EXP 	Sound beep stopped
29.5396 	EXP 	Sound beep reached end of file
29.5507 	EXP 	Sound beep started
29.5783 	EXP 	Sound beep stopped
29.6793 	EXP 	Sound beep reached end of file
29.6933 	EXP 	Sound beep started
29.7385 	EXP 	Sound beep stopped
30.5403 	EXP 	New trial (rep=1, index=4): {'condition': '3_con_duration', 'single_duration': 0.14, 'numerosity': 3}
30.5415 	EXP 	Sound beep reached end of file
30.5459 	EXP 	Sound beep started
30.6983 	EXP 	Sound beep stopped
30.8000 	EXP 	Sound beep reached end of file
30.8170 	EXP 	Sound beep started
30.9483 	EXP 	Sound beep stopped
31.0496 	EXP 	Sound beep reached end of file
31.0601 	EXP 	Sound beep started
31.2183 	EXP 	Sound beep stopped
32.0199 	EXP 	New trial (rep=1, index=5): {'condition': '1_con_duration', 'single_duration': 0.62, 'numerosity': 1}
32.0212 	EXP 	Sound beep reached end of file
32.0293 	EXP 	Sound beep started
32.6685 	EXP 	Sound beep stopped
33.4694 	EXP 	New trial (rep=1, index=6): {'condition': '5_con_duration', 'single_duration': 0.044, 'numerosity': 5}
33.4699 	EXP 	Sound beep reached end of file
33.4756 	EXP 	Sound beep started
33.5283 	EXP 	Sound beep stopped
33.6300 	EXP 	Sound beep reached end of file
33.6430 	EXP 	Sound beep started
33.6984 	EXP 	Sound beep stopped
33.7997 	EXP 	Sound beep reached end of file
33.8130 	EXP 	Sound beep started
33.8584 	EXP 	Sound beep stopped
33.9600 	EXP 	Sound beep reached end of file
33.9763 	EXP 	Sound beep started
34.0284 	EXP 	Sound beep stopped
34.1294 	EXP 	Sound beep reached end of file
34.1430 	EXP 	Sound beep started
34.1983 	EXP 	Sound beep stopped
34.9998 	EXP 	New trial (rep=1, index=7): {'condition': '5_con_rate', 'single_duration': 0.02, 'numerosity': 5}
35.0010 	EXP 	Sound beep reached end of file
35.0090 	EXP 	Sound beep started
35.0386 	EXP 	Sound beep stopped
35.1401 	EXP 	Sound beep reached end of file
35.1531 	EXP 	Sound beep started
35.1783 	EXP 	Sound beep stopped
35.2807 	EXP 	Sound beep reached end of file
35.2932 	EXP 	Sound beep started
35.3284 	EXP 	Sound beep stopped
35.4300 	EXP 	Sound beep reached end of file
35.4325 	EXP 	Sound beep started
35.4583 	EXP 	Sound beep stopped
35.5595 	EXP 	Sound beep reached end of file
35.5765 	EXP 	Sound beep started
35.5884 	EXP 	Sound beep stopped
36.3901 	EXP 	New trial (rep=1, index=8): {'condition': '1_con_rate', 'single_duration': 0.02, 'numerosity': 1}
36.3913 	EXP 	Sound beep reached end of file
36.3961 	EXP 	Sound beep started
36.4286 	EXP 	Sound beep stopped
37.2306 	EXP 	New trial (rep=1, index=9): {'condition': '3_con_rate', 'single_duration': 0.02, 'numerosity': 3}
37.2317 	EXP 	Sound beep reached end of file
37.2400 	EXP 	Sound beep started
37.2684 	EXP 	Sound beep stopped
37.3694 	EXP 	Sound beep reached end of file
37.3854 	EXP 	Sound beep started
37.4184 	EXP 	Sound beep stopped
37.5203 	EXP 	Sound beep reached end of file
37.5336 	EXP 	Sound beep started
37.5684 	EXP 	Sound beep stopped
38.3702 	EXP 	New trial (rep=1, index=10): {'condition': '4_con_duration', 'single_duration': 0.08, 'numerosity': 4}
38.3712 	EXP 	Sound beep reached end of file
38.3797 	EXP 	Sound beep started
38.4683 	EXP 	Sound beep stopped
38.5697 	EXP 	Sound beep reached end of file
38.5839 	EXP 	Sound beep started
38.6683 	EXP 	Sound beep stopped
38.7699 	EXP 	Sound beep reached end of file
38.7836 	EXP 	Sound beep started
38.8686 	EXP 	Sound beep stopped
38.9697 	EXP 	Sound beep reached end of file
38.9835 	EXP 	Sound beep started
39.0684 	EXP 	Sound beep stopped
39.8697 	EXP 	New trial (rep=1, index=11): {'condition': '6_con_duration', 'single_duration': 0.02, 'numerosity': 6}
39.8710 	EXP 	Sound beep reached end of file
39.8802 	EXP 	Sound beep started
39.9083 	EXP 	Sound beep stopped
40.0100 	EXP 	Sound beep reached end of file
40.0186 	EXP 	Sound beep started
40.0585 	EXP 	Sound beep stopped
40.1594 	EXP 	Sound beep reached end of file
40.1667 	EXP 	Sound beep started
40.1883 	EXP 	Sound beep stopped
40.2892 	EXP 	Sound beep reached end of file
40.2934 	EXP 	Sound beep started
40.3186 	EXP 	Sound beep stopped
40.4199 	EXP 	Sound beep reached end of file
40.4319 	EXP 	Sound beep started
40.4685 	EXP 	Sound beep stopped
40.5696 	EXP 	Sound beep reached end of file
40.5837 	EXP 	Sound beep started
40.6083 	EXP 	Sound beep stopped
41.7118 	EXP 	Sound audio started
42.4490 	EXP 	Sound audio stopped
43.2827 	EXP 	New trial (rep=2, index=0): {'condition': '2_con_duration', 'single_duration': 0.26, 'numerosity': 2}
