condition,duration,numerosity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,text_welcome.started,image_name,image.started,image.stopped,audio_name,audio_started,movie_name,movie_started,participant,session,date|hid,expName|hid,psychopyVersion|hid,frameRate,
6_con_singledot,0.25,6,26,2,470,5,,,,6_con_singledot_image_37.png,333.77773844655894,334.0288396212127,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
2_con_totaldot,0.25,2,26,3,471,7,,,,2_con_totaldot_image_3.png,334.135943071582,334.3860180381889,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
3_con_singledot,0.25,3,26,4,472,2,,,,3_con_singledot_image_21.png,334.4938261135685,334.7448601632059,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
4_con_circum,0.25,4,26,5,473,15,,,,4_con_circum_image_45.png,334.85125515457185,335.10566999619186,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
4_con_totaldot,0.25,4,26,6,474,9,,,,4_con_totaldot_image_41.png,335.2127111545851,335.46179991318786,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
6_con_circum,0.25,6,26,7,475,17,,,,6_con_circum_image_67.png,335.56819977956184,335.8193953712034,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
2_con_singledot,0.25,2,26,8,476,1,,,,2_con_singledot_image_46.png,335.92787419656815,336.17822016320133,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
5_con_totaldot,0.25,5,26,9,477,10,,,,5_con_totaldot_image_20.png,336.2845123635634,336.5356755792018,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
1_con_circum,0.25,1,26,10,478,12,,,,1_con_circum_image_42.png,336.6448616965645,336.89558128819044,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
1_con_singledot,0.25,1,26,11,479,0,,,,1_con_singledot_image_51.png,337.0017020295636,337.2529594962107,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
3_con_totaldot,0.25,3,26,12,480,8,,,,3_con_totaldot_image_28.png,337.3614664045599,337.6115311212052,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
5_con_singledot,0.25,5,26,13,481,4,,,,5_con_singledot_image_43.png,337.7177893215703,337.96904403819644,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
3_con_circum,0.25,3,26,14,482,14,,,,3_con_circum_image_61.png,338.076968363559,338.3285299962008,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
5_con_circum,0.25,5,26,15,483,16,,,,5_con_circum_image_15.png,338.4347249465791,338.6864304962073,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
1_con_totaldot,0.25,1,26,16,484,6,,,,1_con_totaldot_image_35.png,338.79462007158145,339.0449627041962,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
6_con_totaldot,0.25,6,26,17,485,11,,,,6_con_totaldot_image_3.png,339.15114348857605,339.40323203821026,3.wav,339.503641584015,13.mp4,339.503641584015,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
6_con_totaldot,0.25,6,27,0,486,11,,,,6_con_totaldot_image_28.png,341.34306272037793,341.59520566319406,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
1_con_totaldot,0.25,1,27,1,487,6,,,,1_con_totaldot_image_54.png,341.7016796135722,341.9530577041878,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
4_con_circum,0.25,4,27,2,488,15,,,,4_con_circum_image_53.png,342.0605185295717,342.3117561632098,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
5_con_singledot,0.25,5,27,3,489,4,,,,5_con_singledot_image_52.png,342.4180955715856,342.6692487042019,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
2_con_totaldot,0.25,2,27,4,490,7,,,,2_con_totaldot_image_30.png,342.77710411358566,343.02836478820245,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
3_con_circum,0.25,3,27,5,491,14,,,,3_con_circum_image_24.png,343.13464115456736,343.3860028291965,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
2_con_circum,0.25,2,27,6,492,13,,,,2_con_circum_image_26.png,343.4949100715603,343.745986996204,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
5_con_circum,0.25,5,27,7,493,16,,,,5_con_circum_image_58.png,343.8522041965771,344.102618538207,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
3_con_totaldot,0.25,3,27,8,494,8,,,,3_con_totaldot_image_40.png,344.21123473857006,344.4617519132007,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
1_con_singledot,0.25,1,27,9,495,0,,,,1_con_singledot_image_52.png,344.5682611135853,344.82156599620066,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
4_con_totaldot,0.25,4,27,10,496,9,,,,4_con_totaldot_image_13.png,344.92959632158454,345.18584920420835,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
2_con_singledot,0.25,2,27,11,497,1,,,,2_con_singledot_image_43.png,345.294863779578,345.5451582461974,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
6_con_circum,0.25,6,27,12,498,17,,,,6_con_circum_image_22.png,345.651635488568,345.9030941212113,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
3_con_singledot,0.25,3,27,13,499,2,,,,3_con_singledot_image_62.png,346.01073840456957,346.26178145418817,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
1_con_circum,0.25,1,27,14,500,12,,,,1_con_circum_image_39.png,346.3679821135738,346.6199139132077,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
5_con_totaldot,0.25,5,27,15,501,10,,,,5_con_totaldot_image_62.png,346.72736665456614,346.9792260381946,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
6_con_singledot,0.25,6,27,16,502,5,,,,6_con_singledot_image_30.png,347.08580644657195,347.3363375381887,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
4_con_singledot,0.25,4,27,17,503,3,,,,4_con_singledot_image_3.png,347.4440296135872,347.69524887121224,1.wav,347.7946935420041,3.mp4,347.7946935420041,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
2_con_totaldot,0.25,2,28,0,504,7,,,,2_con_totaldot_image_42.png,349.6298252613633,349.88607974619663,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
1_con_circum,0.25,1,28,1,505,12,,,,1_con_circum_image_40.png,349.99486886356317,350.24522407918994,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
5_con_totaldot,0.25,5,28,2,506,10,,,,5_con_totaldot_image_61.png,350.3514801965648,350.6032511211961,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
1_con_totaldot,0.25,1,28,3,507,6,,,,1_con_totaldot_image_31.png,350.71133148857916,350.9623899131984,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
6_con_singledot,0.25,6,28,4,508,5,,,,6_con_singledot_image_4.png,351.0686821135605,351.3200449542055,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
2_con_singledot,0.25,2,28,5,509,1,,,,2_con_singledot_image_21.png,351.42724686356087,351.67857749619,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
4_con_circum,0.25,4,28,6,510,15,,,,4_con_circum_image_41.png,351.78478432157135,352.0359348291968,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
5_con_circum,0.25,5,28,7,511,16,,,,5_con_circum_image_6.png,352.1440031965758,352.39603641319263,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
3_con_circum,0.25,3,28,8,512,14,,,,3_con_circum_image_68.png,352.50232952956867,352.7527186632069,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
4_con_totaldot,0.25,4,28,9,513,9,,,,4_con_totaldot_image_37.png,352.86145032157947,353.1119795791892,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
4_con_singledot,0.25,4,28,10,514,3,,,,4_con_singledot_image_39.png,353.2181533215771,353.4719289131899,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
6_con_circum,0.25,6,28,11,515,17,,,,6_con_circum_image_56.png,353.57992582158477,353.8292025381961,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
3_con_totaldot,0.25,3,28,12,516,8,,,,3_con_totaldot_image_2.png,353.93538844656723,354.18607312119275,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
5_con_singledot,0.25,5,28,13,517,4,,,,5_con_singledot_image_55.png,354.2951413635601,354.5461519961973,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
3_con_singledot,0.25,3,28,14,518,2,,,,3_con_singledot_image_8.png,354.6523390715738,354.90271128820314,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
1_con_singledot,0.25,1,28,15,519,0,,,,1_con_singledot_image_24.png,355.0110141965706,355.2623365381878,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
6_con_totaldot,0.25,6,28,16,520,11,,,,6_con_totaldot_image_20.png,355.37801044656953,355.6285378291941,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
2_con_circum,0.25,2,28,17,521,13,,,,2_con_circum_image_2.png,355.7348876135802,355.98669353821606,4.wav,356.0873009170173,11.mp4,356.0873009170173,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
4_con_singledot,0.25,4,29,0,522,3,,,,4_con_singledot_image_28.png,357.9117720113718,358.16198820421414,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
2_con_circum,0.25,2,29,1,523,13,,,,2_con_circum_image_31.png,358.2684570715792,358.51947632919473,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
2_con_singledot,0.25,2,29,2,524,1,,,,2_con_singledot_image_39.png,358.62736211357696,358.8786807042052,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
6_con_totaldot,0.25,6,29,3,525,11,,,,6_con_totaldot_image_38.png,358.9849224045611,359.23636824621644,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
3_con_circum,0.25,3,29,4,526,14,,,,3_con_circum_image_8.png,359.3441915295698,359.59538270421035,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
5_con_singledot,0.25,5,29,5,527,4,,,,5_con_singledot_image_3.png,359.7017384045612,359.9528036631964,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
2_con_totaldot,0.25,2,29,6,528,7,,,,2_con_totaldot_image_2.png,360.0615479465778,360.3120352882106,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
5_con_totaldot,0.25,5,29,7,529,10,,,,5_con_totaldot_image_54.png,360.41861257156415,360.66997657921456,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
3_con_singledot,0.25,3,29,8,530,2,,,,3_con_singledot_image_61.png,360.7776667385624,361.0294792881905,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
1_con_totaldot,0.25,1,29,9,531,6,,,,1_con_totaldot_image_38.png,361.13575069657236,361.38545582919323,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
3_con_totaldot,0.25,3,29,10,532,8,,,,3_con_totaldot_image_44.png,361.4944488635665,361.74537382919516,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
6_con_circum,0.25,6,29,11,533,17,,,,6_con_circum_image_21.png,361.85166990458674,362.10307591319724,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
6_con_singledot,0.25,6,29,12,534,5,,,,6_con_singledot_image_25.png,362.2118359045853,362.46265770420723,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
1_con_singledot,0.25,1,29,13,535,0,,,,1_con_singledot_image_34.png,362.56897248855967,362.8195746631973,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
4_con_totaldot,0.25,4,29,14,536,9,,,,4_con_totaldot_image_5.png,362.9283745295688,363.1786927041976,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
4_con_circum,0.25,4,29,15,537,15,,,,4_con_circum_image_9.png,363.2847286135802,363.5362507042155,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
1_con_circum,0.25,1,29,16,538,12,,,,1_con_circum_image_28.png,363.6442720715859,363.89541787120106,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
5_con_circum,0.25,5,29,17,539,16,,,,5_con_circum_image_16.png,364.0017228215729,364.2535385381925,1.wav,364.35420016699936,12.mp4,364.35420016699936,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
5_con_singledot,0.25,5,30,0,540,4,,,,5_con_singledot_image_10.png,366.1903592203744,366.44552512119117,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
2_con_circum,0.25,2,30,1,541,13,,,,2_con_circum_image_19.png,366.55175011356187,366.80394941319537,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
1_con_totaldot,0.25,1,30,2,542,6,,,,1_con_totaldot_image_23.png,366.91078990457754,367.16232116321044,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
4_con_singledot,0.25,4,30,3,543,3,,,,4_con_singledot_image_6.png,367.2686252385756,367.5192459962127,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
3_con_totaldot,0.25,3,30,4,544,8,,,,3_con_totaldot_image_37.png,367.6284292385826,367.8788691212103,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
1_con_singledot,0.25,1,30,5,545,0,,,,1_con_singledot_image_54.png,367.98490032156406,368.2370985791931,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
1_con_circum,0.25,1,30,6,546,12,,,,1_con_circum_image_45.png,368.34435315457813,368.5957809132087,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
6_con_circum,0.25,6,30,7,547,17,,,,6_con_circum_image_65.png,368.7020525295666,368.95430812118866,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
4_con_circum,0.25,4,30,8,548,15,,,,4_con_circum_image_22.png,369.0610444885824,369.31321291321365,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
5_con_circum,0.25,5,30,9,549,16,,,,5_con_circum_image_44.png,369.41983261356654,369.67048387120303,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
5_con_totaldot,0.25,5,30,10,550,10,,,,5_con_totaldot_image_49.png,369.7776639045769,370.0297077041905,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
6_con_singledot,0.25,6,30,11,551,5,,,,6_con_singledot_image_20.png,370.13601140458195,370.3863206211972,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
2_con_totaldot,0.25,2,30,12,552,7,,,,2_con_totaldot_image_38.png,370.4951531135739,370.7459246211947,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
4_con_totaldot,0.25,4,30,13,553,9,,,,4_con_totaldot_image_68.png,370.85207686356443,371.10364457919786,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
2_con_singledot,0.25,2,30,14,554,1,,,,2_con_singledot_image_47.png,371.2113161545858,371.4626851632056,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
3_con_singledot,0.25,3,30,15,555,2,,,,3_con_singledot_image_4.png,371.5688708215748,371.81975407920254,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
3_con_circum,0.25,3,30,16,556,14,,,,3_con_circum_image_26.png,371.9282452795742,372.1788810792059,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
6_con_totaldot,0.25,6,30,17,557,11,,,,6_con_totaldot_image_54.png,372.2851356135652,372.5363977881934,5.wav,372.64186937501654,4.mp4,372.64186937501654,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
2_con_totaldot,0.25,2,31,0,558,7,,,,2_con_totaldot_image_60.png,374.4735840113717,374.7297917042015,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
6_con_singledot,0.25,6,31,1,559,5,,,,6_con_singledot_image_26.png,374.83537794656877,375.08643716319057,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
3_con_totaldot,0.25,3,31,2,560,8,,,,3_con_totaldot_image_60.png,375.1950129465695,375.44561091320065,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
4_con_totaldot,0.25,4,31,3,561,9,,,,4_con_totaldot_image_19.png,375.5518771965726,375.8037216632074,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
1_con_totaldot,0.25,1,31,4,562,6,,,,1_con_totaldot_image_14.png,375.91097994656593,376.1630580382043,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
3_con_circum,0.25,3,31,5,563,14,,,,3_con_circum_image_50.png,376.2692344045645,376.52046091320517,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
4_con_circum,0.25,4,31,6,564,15,,,,4_con_circum_image_64.png,376.6276923635596,376.879047079201,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
5_con_circum,0.25,5,31,7,565,16,,,,5_con_circum_image_21.png,376.98538198856113,377.2372276632086,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
6_con_totaldot,0.25,6,31,8,566,11,,,,6_con_totaldot_image_47.png,377.3444959465851,377.5957526212005,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
2_con_singledot,0.25,2,31,9,567,1,,,,2_con_singledot_image_49.png,377.7019580715714,377.95401257921185,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
5_con_singledot,0.25,5,31,10,568,4,,,,5_con_singledot_image_35.png,378.06107219656406,378.3129589132004,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
4_con_singledot,0.25,4,31,11,569,3,,,,4_con_singledot_image_37.png,378.41917511356587,378.66983437120507,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
1_con_singledot,0.25,1,31,12,570,0,,,,1_con_singledot_image_18.png,378.778513488578,379.0297530792159,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
3_con_singledot,0.25,3,31,13,571,2,,,,3_con_singledot_image_54.png,379.1358896545862,379.3867169961886,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
5_con_totaldot,0.25,5,31,14,572,10,,,,5_con_totaldot_image_3.png,379.4951630295691,379.74600307921355,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
1_con_circum,0.25,1,31,15,573,12,,,,1_con_circum_image_16.png,379.85230136358587,380.10330857920053,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
6_con_circum,0.25,6,31,16,574,17,,,,6_con_circum_image_55.png,380.2111903635814,380.46288745421043,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
2_con_circum,0.25,2,31,17,575,13,,,,2_con_circum_image_9.png,380.5690735295793,380.8198886632017,5.wav,380.9214314589917,16.mp4,380.9214314589917,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
1_con_totaldot,0.25,1,32,0,576,6,,,,1_con_totaldot_image_52.png,382.75613038637675,383.01281091319106,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
5_con_totaldot,0.25,5,32,1,577,10,,,,5_con_totaldot_image_57.png,383.11962440457137,383.37089128819935,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
6_con_circum,0.25,6,32,2,578,17,,,,6_con_circum_image_3.png,383.47828790456697,383.72983099620615,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
2_con_totaldot,0.25,2,32,3,579,7,,,,2_con_totaldot_image_62.png,383.8360142795864,384.0871690382046,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
4_con_totaldot,0.25,4,32,4,580,9,,,,4_con_totaldot_image_30.png,384.1944894045737,384.4457931211946,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
1_con_singledot,0.25,1,32,5,581,0,,,,1_con_singledot_image_58.png,384.5513692385721,384.80363207920163,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
2_con_circum,0.25,2,32,6,582,13,,,,2_con_circum_image_40.png,384.9111948215723,385.162741413209,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
4_con_circum,0.25,4,32,7,583,15,,,,4_con_circum_image_69.png,385.2689534045785,385.52031916320266,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
3_con_circum,0.25,3,32,8,584,14,,,,3_con_circum_image_29.png,385.627982571561,385.8798542042059,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
1_con_circum,0.25,1,32,9,585,12,,,,1_con_circum_image_41.png,385.9861065295845,386.23666353819135,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
3_con_totaldot,0.25,3,32,10,586,8,,,,3_con_totaldot_image_26.png,386.34457757156633,386.596485288188,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
6_con_totaldot,0.25,6,32,11,587,11,,,,6_con_totaldot_image_69.png,386.70265977956296,386.95326870419376,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
4_con_singledot,0.25,4,32,12,588,3,,,,4_con_singledot_image_43.png,387.06203036358056,387.3124137882114,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
5_con_singledot,0.25,5,32,13,589,4,,,,5_con_singledot_image_20.png,387.41870323858166,387.6696452881879,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
5_con_circum,0.25,5,32,14,590,16,,,,5_con_circum_image_56.png,387.77831982156204,388.0298677462124,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
3_con_singledot,0.25,3,32,15,591,2,,,,3_con_singledot_image_35.png,388.136091279579,388.38704624619277,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
2_con_singledot,0.25,2,32,16,592,1,,,,2_con_singledot_image_23.png,388.49469586358464,388.74583645419625,,,,,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
6_con_singledot,0.25,6,32,17,593,5,,,,6_con_singledot_image_8.png,388.85207161358267,389.10332557921356,5.wav,389.20529762501246,5.mp4,389.20529762501246,1,1,2024-10-13_00h55.46.358,visual,2024.1.5,121.00994953036302,
,,,,,,,,,,5_con_totaldot_image_53.png,391.0564679703675,,,,,,,,,,,,
